City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Llano De Piedra,PA,2022-07-12 01:06:30,7.6667,-80.5667,76.89,99,99,2.48
284,Kosonsoy,UZ,2022-07-12 01:06:31,41.2561,71.5508,66.76,42,0,8.39
285,Port Lincoln,AU,2022-07-12 01:06:32,-34.7333,135.8667,57.36,63,6,15.23
286,Karratha,AU,2022-07-12 01:04:39,-20.7377,116.8463,68.04,28,0,15.12
287,Ballina,AU,2022-07-12 01:06:33,-28.8667,153.5667,64.02,77,90,3.83
288,Biltine,TD,2022-07-12 01:06:34,14.5333,20.9167,89.06,24,100,5.97
289,Una,IN,2022-07-12 01:06:35,20.8167,71.0333,79.66,86,100,16.69
290,Mehamn,NO,2022-07-12 01:06:36,71.0357,27.8492,51.75,93,20,1.14
291,La Rioja,ES,2022-07-12 01:06:37,42.25,-2.5,64.18,48,0,5.64
292,Russell,US,2022-07-12 01:06:38,32.3502,-85.1999,79.83,83,100,4.61
293,Upernavik,GL,2022-07-12 01:06:39,72.7868,-56.1549,39.04,86,34,5.41
294,Sokoto,NG,2022-07-12 01:04:30,13.0609,5.239,83.41,62,37,9.51
295,Kattivakkam,IN,2022-07-12 01:06:41,13.2167,80.3167,82.49,80,100,12.48
296,Luanda,AO,2022-07-12 01:04:46,-8.8368,13.2343,68.0,94,20,5.75
