City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
165,Ahuimanu,US,85.75,light rain,21.4447,-157.8378,Paradise Bay Resort
176,Morehead,US,84.94,clear sky,37.2711,-87.1764,CCI Express Inn
182,Morgan City,US,80.02,broken clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
183,Guanaja,HN,82.2,overcast clouds,16.4,-85.9,Parrot Beach
192,Escarcega,MX,82.98,overcast clouds,18.6089,-90.7454,Hotel Maria Isabel
193,Misratah,LY,78.84,clear sky,32.3754,15.0925,Almasa Hotel
196,Banjar,ID,78.28,overcast clouds,-8.19,114.9675,The Hamsa Resort
203,Veraval,IN,81.27,overcast clouds,20.9,70.3667,Lords Inn Somnath
204,Mutis,CO,77.07,light rain,6.2262,-77.4044,Paraiso Escondido
206,Cienfuegos,CU,87.94,broken clouds,22.1461,-80.4356,Casa Claumar B2BPay
207,Samarai,PG,80.01,scattered clouds,-10.6167,150.6667,Nuli Sapi
211,Thompson,CA,75.36,scattered clouds,55.7435,-97.8558,Burntwood Hotel
222,Sola,VU,81.1,scattered clouds,-13.8833,167.55,Leumerus Bungalows
223,Itoman,JP,86.4,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
227,Matay,EG,77.49,clear sky,28.419,30.7792,Nag Aespen
228,Bambanglipuro,ID,76.59,broken clouds,-7.95,110.2833,Puri Brata
229,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
230,Kavieng,PG,84.25,broken clouds,-2.5744,150.7967,Nusa Island Retreat
233,Auki,SB,84.97,broken clouds,-8.7676,160.7034,Auki Motel
236,Guane,CU,82.18,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
237,Kilindoni,TZ,76.51,clear sky,-7.9139,39.6668,Bustani B&B
238,Harrison,US,84.76,few clouds,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
242,Marsh Harbour,BS,84.25,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
244,Labuhan,ID,77.29,broken clouds,-6.8844,112.2051,DoubleFAG
248,Xianyang,CN,76.5,mist,34.3378,108.7026,铁路大厦
251,Mudon,MM,75.13,overcast clouds,16.2578,97.7164,Motel Mudon
252,Makakilo City,US,88.12,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
253,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
256,Lingao,CN,81.88,clear sky,19.9103,109.6859,Lingao Ditai Inn
257,Boyolangu,ID,75.29,broken clouds,-8.1181,111.8935,Yos ega cv
258,Ugoofaaru,MV,81.7,overcast clouds,5.6667,73.0,Ungoofaaru Inn
265,Glendive,US,86.49,clear sky,47.1053,-104.7125,Super 8 by Wyndham Glendive
274,Khartoum,SD,86.04,overcast clouds,15.5518,32.5324,Hotel China
275,Sturgis,US,77.25,clear sky,41.7992,-85.4192,Best Western Plus Howe Inn
276,Naze,JP,83.32,overcast clouds,28.3667,129.4833,Shishime Hotel
282,Kandrian,PG,84.07,scattered clouds,-6.2167,149.55,Kandrian Station
285,Morant Bay,JM,85.71,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
287,Axim,GH,75.15,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
288,Bengkulu,ID,75.72,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
